SHEET_NUMBER=2;
SHEET_NAME=Adresse;12;2;
identité;type;zone;nom du site;lieu dit;rue;ville;pays;code postale;commentaire;latitude;longitude;
F9967;;;2 Chem. des Prés;;;Parignargues;France;30730;;;;
F9968;;;1 Chem. des Joncasses;;;Vic-la-Gardiole;France;34110;;;;
F9969;;;Mas Neuf de Saint-Jean;;;Saint-Laurent-d'Aigouze;France;30220;;;;
F9970;;;410 Cami des Oliviers;;;Montbazin;France;34560;;;;
F9971;;;Valergues;;;Valergues;France;34130;;;;
F9972;;;147 Imp. de la Confrérie;;;Le Triadou;France;34270;;;;
F9973;;;45 Chem. de la ville;;;Saint-Mathieu-de-Tréviers;France;34270;;;;
F9974;;;21 chemin de l’Escouo Port;;;Saussines;France;34160;;;;
F9975;;;Les Aspes lieu dit;;;Saint-Bauzille-de-Montmel;France;34160;;;;
F9976;;;133 Chem. des Olivettes;;;La Rouvière;France;30190;;;;
F9977;;;Chemin 6399;;;Arles;France;13200;;;;
F9978;;;Chem. du Mas Bois-Fontaine;;;Nîmes;France;30900;;;;
F9979;;;Saint-Césaire-de-Gauzignan;;;Saint-Césaire-de-Gauzignan;France;30360;;;;
F9980;;;Maussance-les-Alpilles;;;Maussance-les-Alpilles;France;13520;;;;
F9981;;;999 Chem. de la Font du Roy;;;Beaucaire;France;30300;;;;
F9982;;;2716 Rte de Courbessac;;;Nîmes;France;30000;;;;
F9983;;;Théziers;;;Théziers;France;30390;;;;
F9984;;;42 Rue des Amandiers;;;Poulx;France;30320;;;;
F9985;;;Chem. des Coussoudières;;;Piolenc;France;84420;;;;
F9986;;;180 Chem. du Haut Débat;;;Jonquières;France;84150;;;;
F9987;;;240 Rue des Frères Perret;;;Aix-en-Provence;France;13290;;;;
F9988;;;Canaules-et-Argentières;;;Canaules-et-Argentières;France;30350;;;;
F9989;;;Fontanès;;;Fontanès;France;30250;;;;
F9990;;;8 Chem. des Roussignou;;;Cabriès;France;13480;;;;
F9991;;;Saint-Martin-de-Crau;;;Saint-Martin-de-Crau;France;13310;;;;
F9992;;;N568;;;Fos-sur-Mer;France;13310;;;;
F9993;;;23 Chem. de Figuerolles;;;Marignane;France;13700;;;;
F9994;;;Mas de la Péronne;;;Miramas;France;13140;;;;
F9995;;;Chem. des Baïsses;;;Lançon-Provence;France;13680;;;;
F9996;;;Berre-l'Étang;;;Berre-l'Étang;France;13130;;;;
F9997;;;Les Boyers;;;La Bouilladisse;France;13720;;;;
F9998;;;Avenue Alonso Flores;;;Saint-Savournin;France;13119;;;;
F9999;;;Arles;;;Arles;France;13200;;;;
SHEET_NAME=Véhicule;13;2;
ID;Nom;Type;Site départ;Site retour;Début service;Fin service;Horaire travail;Max temps travail;Max durée travail;Max quantité;Max poids;Max volume;
id;name;idTypeResource;idSite1;idSite2;t1;t2;idShift;maxWorktime;maxMakespan;maxQuantity;maxWeight;maxVolume;
string key;string;string;;string;yyyy-mm-dd hh:mm;yyyy-mm-dd hh:mm;string;int;int;int;float;float;
248BCJ34;248BCJ34;21P;;F0000;;;01;0;0;21.000;.000;;
248BCJ35;248BCJ35;21P;;F0000;;;02;0;0;21.000;.000;;
248BCJ36;248BCJ36;21P;;F0000;;;02;0;0;21.000;.000;;
248BCJ37;248BCJ37;21P;;F0000;;;02;0;0;21.000;.000;;
248BCJ38;248BCJ38;21P;;F0000;;;02;0;0;21.000;.000;;
428BCL34;428BCL34;30P;;F0000;;;02;0;0;30.000;.000;;
428BCL35;428BCL35;30P;;F0000;;;01;0;0;30.000;.000;;
428BCL36;428BCL36;30P;;F0000;;;01;0;0;30.000;.000;;
428BCL37;428BCL37;30P;;F0000;;;01;0;0;30.000;.000;;
428BCL38;428BCL38;30P;;F0000;;;01;0;0;30.000;.000;;
NA03;NA03;21P;;F0000;;;01;0;0;21.000;.000;;
NA04;NA04;30P;;F0000;;;01;0;0;30.000;.000;;
NA05;NA05;30P;;F0000;;;01;0;0;30.000;.000;;
